	method name	test statistic name	sample size	number of groups	test statistic	p-value	number of permutations	cohort	abx	day	sig
PERMANOVA results	PERMANOVA	pseudo-F	17	3	5.36068763120967	0.005	999	LPI-Vaginal	0.0	0.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	17	3	3.7642600322753075	0.015	999	LPI-Vaginal	0.0	1.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	15	3	1.7988144201303087	0.149	999	LPI-Vaginal	0.0	2.0	p>0.05
PERMANOVA results	PERMANOVA	pseudo-F	14	3	4.7069071410157735	0.017	999	LPI-Vaginal	0.0	3.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	16	3	6.936879771601722	0.001	999	LPI-Vaginal	0.0	4.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	13	3	5.4245769572760985	0.004	999	LPI-Vaginal	0.0	5.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	14	3	8.939074139246731	0.002	999	LPI-Vaginal	0.0	6.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	10	3	5.441064803710803	0.006	999	LPI-Vaginal	0.0	7.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	10	3	5.632901818368332	0.034	999	LPI-Vaginal	1.0	1.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	14	3	5.564862951072303	0.006	999	LPI-Vaginal	1.0	2.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	14	3	14.960301224172321	0.001	999	LPI-Vaginal	1.0	3.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	15	3	8.126935132588871	0.002	999	LPI-Vaginal	1.0	4.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	13	3	6.904837207140854	0.003	999	LPI-Vaginal	1.0	5.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	18	3	4.798766281016341	0.004	999	LPI-Vaginal	1.0	6.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	17	3	4.972396759495656	0.005	999	LPI-Vaginal	1.0	7.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	28	3	6.311186733238233	0.001	999	LPI-Vaginal	2.0	0.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	25	3	7.305027873894934	0.001	999	LPI-Vaginal	2.0	1.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	16	3	5.346681523108119	0.005	999	LPI-Vaginal	2.0	2.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	20	3	4.32245338272823	0.002	999	LPI-Vaginal	2.0	3.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	11	3	1.8042139623521185	0.185	999	LPI-Vaginal	2.0	4.0	p>0.05
PERMANOVA results	PERMANOVA	pseudo-F	11	3	5.5501284128868	0.006	999	LPI-Vaginal	2.0	5.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	12	3	3.314174885906014	0.034	999	LPI-C-section	1.0	1.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	10	3	3.6746647829762855	0.014	999	LPI-C-section	1.0	2.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	11	3	4.835406870186608	0.015	999	LPI-C-section	1.0	3.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	13	3	4.950124500074348	0.009	999	LPI-C-section	1.0	4.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	15	3	7.190510211224188	0.003	999	LPI-C-section	1.0	5.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	12	3	4.260549801233076	0.011	999	LPI-C-section	1.0	6.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	12	3	6.872830609883393	0.003	999	LPI-C-section	1.0	7.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	50	3	12.612805363468878	0.001	999	LPI-C-section	2.0	0.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	50	3	10.085102773445474	0.001	999	LPI-C-section	2.0	1.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	52	3	16.55623782661007	0.001	999	LPI-C-section	2.0	2.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	46	3	14.084191558400422	0.001	999	LPI-C-section	2.0	3.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	46	3	17.221264633378894	0.001	999	LPI-C-section	2.0	4.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	27	3	9.396171032598449	0.001	999	LPI-C-section	2.0	5.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	30	3	7.119838942482631	0.001	999	LPI-C-section	2.0	6.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	29	3	5.659007198707306	0.003	999	LPI-C-section	2.0	7.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	8	2	0.26227851831848276	0.758	999	VLBW-C-section	1.0	0.0	p>0.05
PERMANOVA results	PERMANOVA	pseudo-F	39	3	6.216889720394546	0.001	999	VLBW-C-section	1.0	1.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	43	3	9.440234246232526	0.001	999	VLBW-C-section	1.0	2.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	40	3	8.840729642700534	0.001	999	VLBW-C-section	1.0	3.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	44	3	12.960134585350646	0.001	999	VLBW-C-section	1.0	4.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	43	3	16.891176661091237	0.001	999	VLBW-C-section	1.0	5.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	45	3	12.312696669373485	0.001	999	VLBW-C-section	1.0	6.0	p<0.05
PERMANOVA results	PERMANOVA	pseudo-F	34	3	12.397829436185935	0.001	999	VLBW-C-section	1.0	7.0	p<0.05
